country,sect,t,upstreamness,downstreamness,u_n,u_d,d_n,d_d,source
USA,18.0,2012,1.31563570188987,1.95602606755919,769739.74451355,585070.581018622,1660300.11725187,848812.878717748,ADB
USA,18.0,2013,1.31374488577963,1.95509085987741,815454.12834758,620709.650080696,1754367.12665388,897332.785220979,ADB
USA,18.0,2014,1.30248586684484,1.94786865215559,865105.008280535,664195.313209945,1884492.10119687,967463.6424337,ADB
USA,18.0,2015,1.28495472502279,1.91479036247863,936474.342619659,728799.485602927,2034597.77127982,1062569.46512208,ADB
USA,18.0,2016,1.28832931785476,1.89498454202135,1008436.92159746,782747.786316505,2131841.93426447,1124991.72789582,ADB
USA,18.0,2017,1.31971818891494,1.96627683197644,1054260.88298398,798853.036837195,2434567.33087428,1238161.02152164,ADB
USA,18.0,2018,1.29851482690914,1.96981488430533,1095532.16689631,843680.906982026,2654627.61858729,1347653.34536675,ADB
USA,18.0,2019,1.30006317258119,1.91761042283003,1169359.27797587,899463.428114943,2628881.14236986,1370915.13013896,ADB
USA,18.0,2020,1.24862827224345,1.95930846295193,1120631.70991085,897490.257766925,2932728.46676876,1496818.14896581,ADB
USA,18.0,2021,1.26126580668441,1.98012038125064,1278510.72927301,1013672.7107777,3249410.63570179,1641016.7111403,ADB
USA,18.0,2022,1.2711686550915,2.02217222779301,1401929.29811816,1102866.47841961,3656574.8179245,1808241.04280933,ADB
USA,18.0,2023,1.25218754937467,1.93663506505588,1526413.38636709,1218997.41546653,3760186.25940905,1941608.06403686,ADB
USA,18.0,2024,1.24952814667435,1.93251534816903,1637803.65738193,1310737.7066623,4039074.09094146,2090060.54972257,ADB
USA,19.0,2000,1.42219291010256,1.52424956642167,300788.962103026,211496.597941368,342964.833453625,225005.695267324,ADB
USA,19.0,2007,1.35154050827752,1.52813447955969,317086.203093843,234610.950357646,399778.410566237,261612.06092374,ADB
USA,19.0,2008,1.36946039041666,1.51566216702147,293878.898882352,214594.668775297,354188.231318692,233685.473600446,ADB
USA,19.0,2009,1.37666298705849,1.40031548096937,272627.403102774,198034.962562112,279180.693128088,199369.854095182,ADB
USA,19.0,2010,1.33202990223393,1.58373294187001,284105.934536846,213287.955518398,399923.920729474,252519.796839775,ADB
USA,19.0,2011,1.34859089471054,1.5762765339093,299379.857556766,221994.571319588,405205.155914759,257064.764460976,ADB
USA,19.0,2012,1.33766230714262,1.61782154571776,313647.35009231,234474.237942977,460548.142509162,284671.782081401,ADB
USA,19.0,2013,1.34541342650937,1.62097301989524,329021.016371795,244550.121092093,474986.834869714,293025.749990837,ADB
